State,adh_AUGavg,tot_cases_Aug,case_rate_Aug,MaskAugPol,Wk_case_rate_Aug,Wk_AugHI,maskAUG75,strictAugPol,Month
Alabama,65.35483871,126058,778.901877045227,1,354.04630774783,1,0,,2020-08
Alaska,56.83870968,5263,310.712259669603,1,141.232845304365,0,0,1,2020-08
Arizona,87.25806452,201835,382.278909868319,0,173.763140849236,0,1,,2020-08
Arkansas,59.0,61224,620.086659040812,1,281.857572291278,1,0,1,2020-08
California,74.61290323,704085,532.738945110732,1,242.154065959424,1,0,,2020-08
Colorado,61.70967742,57424,184.328644341397,1,83.7857474279078,0,0,,2020-08
Connecticut,73.35483871,52879,86.0800266570405,1,39.1272848441093,0,0,,2020-08
Delaware,68.41935484,17535,272.961415702367,1,124.073370773803,0,0,1,2020-08
District of Columbia,71.77419355,13992,264.399949557137,1,120.181795253244,0,0,1,2020-08
Florida,71.64516129,616629,705.842519628581,0,320.837508922082,1,0,,2020-08
Georgia,59.96774194,270471,792.273228635611,0,360.124194834369,1,0,,2020-08
Hawaii,77.58064516,7835,412.890430773403,1,187.677468533365,0,1,1,2020-08
Idaho,41.06451613,32088,636.070875989402,0,289.123125449728,1,0,,2020-08
Illinois,61.51612903,236725,446.715590442763,1,203.052541110347,1,0,1,2020-08
Indiana,61.90322581,94196,416.534280896091,1,189.333764043678,0,0,,2020-08
Iowa,48.61290323,64823,641.538856507146,0,291.608571139612,1,0,,2020-08
Kansas,49.58064516,42612,508.012524568241,1,230.914783894655,1,0,,2020-08
Kentucky,70.48387097,48396,408.378142267798,1,185.626428303545,0,0,,2020-08
Louisiana,58.06451613,148894,701.558296624888,1,318.890134829495,1,0,1,2020-08
Maine,65.03225806,4548,45.4541396743966,1,20.6609725792712,0,0,1,2020-08
Maryland,73.41935484,108863,322.511280782311,1,146.596036719232,0,0,1,2020-08
Massachusetts,74.64516129,128202,153.645199719173,1,69.8387271450787,0,0,1,2020-08
Michigan,73.93548387,113025,224.805461818468,1,102.184300826576,0,0,1,2020-08
Minnesota,57.70967742,75864,366.61966596402,1,166.645302710918,0,0,,2020-08
Mississippi,53.03225806,83584,796.431899074945,1,362.014499579521,1,0,,2020-08
Missouri,47.42857143,84697,560.071743407825,0,254.578065185375,1,0,,2020-08
Montana,52.8,7493,330.096615012659,0,150.043915914845,0,0,,2020-08
Nebraska,46.2,34287,417.492069925269,0,189.769122693304,0,0,,2020-08
Nevada,66.4,69484,687.367782670748,1,312.439901213976,1,0,,2020-08
New Hampshire,67.0,7275,50.8931677393211,0,23.1332580633278,0,0,,2020-08
New Jersey,67.8,191960,115.96239215779,1,52.7101782535409,0,0,,2020-08
New Mexico,69.6,25352,226.627922448612,1,103.012692022096,0,0,,2020-08
New York,69.6,200519,54.7611822843129,1,24.8914464928695,0,0,1,2020-08
North Carolina,56.0,167313,430.63156244744,1,195.741619294291,0,0,,2020-08
North Dakota,37.2,12000,708.341316060898,0,321.973325482226,1,0,,2020-08
Ohio,59.6,123157,273.742204275778,1,124.428274670808,0,0,,2020-08
Oklahoma,51.0,64108,631.872207301999,0,287.214639682727,1,0,,2020-08
Oregon,58.6,26713,196.562029667954,1,89.3463771217971,0,0,,2020-08
Pennsylvania,60.36666667,134025,164.732214658207,1,74.8782793900939,0,0,,2020-08
Rhode Island,73.63333333,21949,276.29863663095,1,125.590289377705,0,0,,2020-08
South Carolina,71.2,118992,582.203633761751,0,264.63801534625,1,0,,2020-08
South Dakota,33.66666667,13509,536.364859228245,0,243.802208740111,1,0,,2020-08
Tennessee,57.53333333,154933,717.129187219421,0,325.967812372464,1,0,,2020-08
Texas,69.13333333,612969,662.242337109881,1,301.019244140855,1,0,,2020-08
Utah,54.4,52792,374.147134803388,1,170.066879456085,0,0,,2020-08
Vermont,72.53333333,1629,34.4557355979032,1,15.6616979990469,0,0,,2020-08
Virginia,79.43333333,121615,361.009096224846,1,164.095043738566,0,1,1,2020-08
Washington,62.93333333,74635,247.304853791117,1,112.41129717778,0,0,,2020-08
West Virginia,63.06666667,10250,201.322770955731,1,91.5103504344231,0,0,,2020-08
Wisconsin,59.66666667,80568,405.912716228299,1,184.505780103772,0,0,,2020-08
Wyoming,34.76666667,3842,192.826375054211,0,87.6483522973685,0,0,,2020-08
