State,adh_JUNEavg,tot_cases_Jun,case_rate_Jun,MaskJunPol,Wk_case_rate_Jun,Wk_JunHI,maskGT75,strictJunPol,Month
Alabama,27.6,38064,404.206653430372,0,183.730297013806,0,0,0,2020-06
Alaska,46.03,940,65.6145554955608,1,29.8247979525276,0,0,0,2020-06
Arizona,21.77,79215,814.415507568161,0,370.188867076437,1,1,0,2020-06
Arkansas,36.9,20777,448.14043589312,0,203.700198133236,1,0,0,2020-06
California,48.7,222917,284.301898174648,1,129.228135533931,0,0,0,2020-06
Colorado,48.0,32715,110.041509108943,0,50.0188677767924,0,0,0,2020-06
Connecticut,55.4,46514,120.972028338813,1,54.9872856085512,0,1,0,2020-06
Delaware,39.83,11510,195.52992306144,1,88.8772377552,0,0,1,2020-06
District of Columbia,39.87,10327,216.22418168499,1,98.2837189477227,0,0,1,2020-06
Florida,45.1,149781,442.397632488004,0,201.089832949093,1,0,0,2020-06
Georgia,34.77,81291,322.884375992178,0,146.76562545099,0,0,0,2020-06
Hawaii,46.4,842,16.5975455408399,1,7.54433888219993,0,1,1,2020-06
Idaho,34.0,6117,183.42925411219,0,83.3769336873589,0,0,0,2020-06
Illinois,32.4,144238,189.223001177179,1,86.0104550805358,0,0,1,2020-06
Indiana,19.63,45594,163.690456296802,0,74.4047528621827,0,0,0,2020-06
Iowa,30.5,28947,297.774692796039,0,135.352133089109,0,0,0,2020-06
Kansas,30.5,14443,162.15210581489,0,73.7055026431318,0,0,0,2020-06
Kentucky,36.87,15624,132.507459699938,1,60.2306634999717,0,0,0,2020-06
Louisiana,36.9,58095,391.047656661061,0,177.748934845937,0,0,0,2020-06
Maine,55.4,3294,70.3014107893695,1,31.9551867224407,0,0,1,2020-06
Maryland,39.87,67918,241.345886649641,1,109.702675749837,0,0,1,2020-06
Massachusetts,55.4,108882,172.898002365759,1,78.5900010753449,0,1,1,2020-06
Michigan,37.4,70728,133.485439913679,1,60.675199960763,0,0,1,2020-06
Minnesota,30.5,36716,204.055867475041,0,92.7526670341095,0,0,0,2020-06
Mississippi,30.77,27900,408.178488375414,0,185.535676534279,0,0,0,2020-06
Missouri,34.67,21551,136.930323255931,0,62.241056025423,0,0,0,2020-06
Montana,34.0,1018,47.0630944873491,0,21.3923156760678,0,0,0,2020-06
Nebraska,31.03,19177,262.405862672197,0,119.275392123726,0,0,0,2020-06
Nevada,34.0,18684,327.061356632586,1,148.664253014812,0,0,0,2020-06
New Hampshire,54.73,5782,83.179440336954,0,37.8088365167973,0,0,0,2020-06
New Jersey,50.6,171667,126.342715028613,1,57.4285068311879,0,0,0,2020-06
New Mexico,34.0,12147,212.606750478938,1,96.6394320358807,0,0,0,2020-06
New York,56.43,178275,55.5579515750355,1,25.2536143522889,0,1,1,2020-06
North Carolina,37.3,64670,344.018983829649,1,156.372265377113,0,0,0,2020-06
North Dakota,30.5,3576,131.091695951248,0,59.5871345232946,0,0,0,2020-06
Ohio,29.0,51789,139.240831201718,0,63.2912869098717,0,0,0,2020-06
Oklahoma,36.9,13217,175.310862778625,0,79.6867558084661,0,0,0,2020-06
Oregon,33.0,8656,105.526549504219,0,47.9666134110086,0,0,0,2020-06
Pennsylvania,51.57,87242,116.856841542357,0,53.1167461556169,0,0,0,2020-06
Rhode Island,55.2,16813,177.937454748665,1,80.880661249393,0,1,0,2020-06
South Carolina,29.43,36399,476.585026863019,0,216.629557665008,1,0,0,2020-06
South Dakota,30.5,6764,200.190129756211,0,90.9955135255505,0,0,0,2020-06
Tennessee,24.53,43509,297.986257195965,0,135.448298725439,0,0,0,2020-06
Texas,42.47,159986,330.043429271902,0,150.019740578137,0,0,0,2020-06
Utah,34.0,22746,399.319017903541,1,181.508644501609,0,0,0,2020-06
Vermont,55.2,1208,36.3788464219722,0,16.5358392827146,0,1,0,2020-06
Virginia,49.7,62787,203.725163051011,1,92.6023468413685,0,1,1,2020-06
Washington,42.8,32824,146.055893365803,1,66.3890424390014,0,0,0,2020-06
West Virginia,39.87,2905,49.9400997797614,0,22.700045354437,0,0,0,2020-06
Wisconsin,31.07,31662,227.722632837057,0,103.510287653208,0,0,0,2020-06
Wyoming,34.0,1487,100.905558272096,0,45.8661628509527,0,0,0,2020-06
