State,tot_cases_May,case_rate_May,Wk_case_rate_May,Wk_MayHI,adh_MAYavg,MaskMayPol,maskMAY75,strictMayPol,Month
Alabama,18245,223.099883035211,101.409037743278,0,,,,,2020-05
Alaska,460,14.3531840146539,6.52417455211542,0,,,,,2020-05
Arizona,19936,168.820961166645,76.7368005302933,0,,,,,2020-05
Arkansas,7253,132.480439418862,60.2183815540283,0,,,,,2020-05
California,110583,156.06816149018,70.9400734046272,0,,,,,2020-05
Colorado,26378,194.41766387624,88.3716653982907,0,,,,,2020-05
Connecticut,42201,406.727424748695,184.876102158498,0,,,,,2020-05
Delaware,9606,500.326567833685,227.421167197129,1,,,,,2020-05
District of Columbia,8801,634.503201563162,288.410546165074,1,,,,,2020-05
Florida,54764,98.1202069845627,44.6000940838921,0,,,,,2020-05
Georgia,47009,196.978117948206,89.5355081582757,0,,,,,2020-05
Hawaii,607,3.17825340143742,1.44466063701701,0,,,,,2020-05
Idaho,2839,46.1091230593179,20.95869229969,0,,,,,2020-05
Illinois,120260,531.431117911151,241.559599050523,1,,,,,2020-05
Indiana,34574,248.640158616349,113.018253916522,0,,,,,2020-05
Iowa,19552,393.240086590789,178.745493904904,0,,,,,2020-05
Kansas,9719,188.136259943144,85.5164817923381,0,,,,,2020-05
Kentucky,9704,111.825552138664,50.8297964266653,0,,,,,2020-05
Louisiana,39916,255.378061492938,116.080937042244,0,,,,,2020-05
Maine,2349,91.2058514579546,41.4572052081612,0,,,,,2020-05
Maryland,53327,493.823688981223,224.465313173283,1,,,,,2020-05
Massachusetts,96965,504.316066311469,229.234575596122,1,,,,,2020-05
Michigan,57397,160.390801630583,72.9049098320832,0,,,,,2020-05
Minnesota,25208,355.909747302661,161.777157864846,0,,,,,2020-05
Mississippi,15752,286.947998907313,130.430908594233,0,,,,,2020-05
Missouri,13147,90.9990308643947,41.3631958474521,0,,,,,2020-05
Montana,515,5.80101761076669,2.63682618671213,0,,,,,2020-05
Nebraska,14101,507.648851741721,230.749478064419,1,,,,,2020-05
Nevada,8610,116.974594793251,53.1702703605685,0,,,,,2020-05
New Hampshire,4651,184.230325414739,83.7410570066995,0,,,,,2020-05
New Jersey,160445,470.525850043739,213.875386383518,1,,,,,2020-05
New Mexico,7689,204.022359477096,92.7374361259528,0,,,,,2020-05
New York,167467,157.158887259767,71.4358578453486,0,,,,,2020-05
North Carolina,28589,172.38610979851,78.3573226356865,0,,,,,2020-05
North Dakota,2577,198.146607493878,90.0666397699447,0,,,,,2020-05
Ohio,35513,149.59235527115,67.99652512325,0,,,,,2020-05
Oklahoma,6280,67.2736797919419,30.5789453599736,0,,,,,2020-05
Oregon,4243,41.4406322888764,18.8366510403983,0,,,,,2020-05
Pennsylvania,72282,207.147498720707,94.1579539639575,0,,,,,2020-05
Rhode Island,14928,595.358900318211,270.617681962823,1,,,,,2020-05
South Carolina,11861,111.989129712779,50.9041498694449,0,,,,,2020-05
South Dakota,4993,287.56843032174,130.712922873518,0,,,,,2020-05
Tennessee,23159,181.925369012416,82.6933495510984,0,,,,,2020-05
Texas,64287,124.845318547141,56.7478720668824,0,,,,,2020-05
Utah,9944,161.917280263809,73.5987637562767,0,,,,,2020-05
Vermont,981,18.4298120639947,8.37718730181578,0,,,,,2020-05
Virginia,45398,333.86370530017,151.756229681895,0,,,,,2020-05
Washington,21702,96.8496865287536,44.0225847857971,0,,,,,2020-05
West Virginia,2010,49.3821098380881,22.4464135627673,0,,,,,2020-05
Wisconsin,18403,198.353472104622,90.1606691384643,0,,,,,2020-05
Wyoming,903,59.4375206260291,27.0170548300132,0,,,,,2020-05
