State,tot_cases_Oct,case_rate_Oct,Wk_case_rate_Oct,Wk_OctHI,maskOCT75,maskOctPol,adh_OCTavg,strictOctpol,Month
Alabama,192285,766.522168753575,348.419167615262,1,,,,,2020-10
Alaska,15274,1018.39258008735,462.905718221522,1,,,,,2020-10
Arizona,245946,376.97577746188,171.352626119036,0,,,,,2020-10
Arkansas,112190,944.163371776298,429.165168989226,1,,,,,2020-10
California,922005,281.887455433727,128.130661560785,0,,,,,2020-10
Colorado,107350,639.272229183626,290.578285992557,1,,,,,2020-10
Connecticut,71207,383.054716212187,174.115780096449,0,,,,,2020-10
Delaware,25126,463.45931868502,210.663326675009,1,,,,,2020-10
District of Columbia,17266,274.885263741075,124.947847155034,0,,,,,2020-10
Florida,791997,437.411073615437,198.823215279744,0,,,,,2020-10
Georgia,360790,402.771934395003,183.078151997729,0,,,,,2020-10
Hawaii,14995,169.930615196854,77.2411887258427,0,,,,,2020-10
Idaho,64608,1262.40511676968,573.82050762258,1,,,,,2020-10
Illinois,416599,953.580389116923,433.445631416783,1,,,,,2020-10
Indiana,179358,881.418147567689,400.644612530768,1,,,,,2020-10
Iowa,127966,1240.41621897454,563.825554079336,1,,,,,2020-10
Kansas,85181,872.95773816348,396.798971892491,1,,,,,2020-10
Kentucky,107219,859.037803348634,390.471728794833,1,,,,,2020-10
Louisiana,186649,412.816743439266,187.643974290576,0,,,,,2020-10
Maine,6668,92.0241747581483,41.8291703446128,0,,,,,2020-10
Maryland,146145,341.318098212277,155.14459009649,0,,,,,2020-10
Massachusetts,164417,359.346960023086,163.339527283221,0,,,,,2020-10
Michigan,197406,594.701616334348,270.318916515613,1,,,,,2020-10
Minnesota,148472,874.844316083035,397.656507310471,1,,,,,2020-10
Mississippi,120500,726.240520887899,330.109327676318,1,,,,,2020-10
Missouri,185535,968.190584068766,440.086629122166,1,,,,,2020-10
Montana,32801,1815.90564177032,825.411655350146,1,,,,,2020-10
Nebraska,70732,1301.06988804844,591.39540365838,1,,,,,2020-10
Nevada,100763,671.329633953605,305.149833615275,1,,,,,2020-10
New Hampshire,11084,207.249922961571,94.2045104370775,0,,,,,2020-10
New Jersey,237886,367.150443753173,166.886565342352,0,,,,,2020-10
New Mexico,46490,813.371047424468,369.714112465667,1,,,,,2020-10
New York,244271,152.481080456169,69.3095820255316,0,,,,,2020-10
North Carolina,274635,610.244921760733,277.384055345788,1,,,,,2020-10
North Dakota,45043,2995.16312321045,1361.43778327748,1,,,,,2020-10
Ohio,215697,527.927727541042,239.967148882292,1,,,,,2020-10
Oklahoma,129191,903.443568325368,410.656167420622,1,,,,,2020-10
Oregon,44921,272.891226590108,124.041466631867,0,,,,,2020-10
Pennsylvania,208027,383.221700940377,174.191682245626,0,,,,,2020-10
Rhode Island,32874,767.066184237479,348.666447380672,1,,,,,2020-10
South Carolina,176612,556.838076459481,253.108216572491,1,,,,,2020-10
South Dakota,45992,2668.03367173114,1212.74257805961,1,,,,,2020-10
Tennessee,260672,944.96054720527,429.527521456941,1,,,,,2020-10
Texas,900596,522.932895192941,237.696770542246,1,,,,,2020-10
Utah,114656,1298.02074762052,590.009430736602,1,,,,,2020-10
Vermont,2157,64.424212606312,29.2837330028691,0,,,,,2020-10
Virginia,182393,394.492707473324,179.314867033329,0,,,,,2020-10
Washington,107501,262.367442326504,119.257928330229,0,,,,,2020-10
West Virginia,24460,480.540937769056,218.427698985934,1,,,,,2020-10
Wisconsin,237870,1867.72404805276,848.965476387616,1,,,,,2020-10
Wyoming,13298,1269.9586529108,577.253933141271,1,,,,,2020-10
