State,AdhSEPavg,tot_cases_Sep,case_rate_Sep,MaskSepPol,Wk_case_rate_Sep,Wk_SepHI,maskSEP75,strictSepPol,Month
Alabama,59.83,154701,584.171309057276,1,265.532413207853,1,0,,2020-09
Alaska,52.33,7824,350.08099296694,1,159.127724075882,0,0,1,2020-09
Arizona,67.97,218507,229.051356166203,0,104.11425280282,0,0,,2020-09
Arkansas,60.2,83697,744.680569049547,1,338.491167749794,1,0,1,2020-09
California,72.47,810625,269.638081360292,1,122.562764254678,0,0,,2020-09
Colorado,63.57,70536,227.688853942949,1,103.494933610431,0,0,,2020-09
Connecticut,71.37,57550,131.013295703824,1,59.5514980471928,0,0,,2020-09
Delaware,70.9,20613,316.093016377685,1,143.678643808039,0,0,1,2020-09
District of Columbia,72.33,15326,189.019042180719,1,85.9177464457812,0,0,1,2020-09
Florida,65.93,698051,379.099529899263,0,172.317968136028,0,0,,2020-09
Georgia,58.27,318026,447.895878312468,0,203.589035596576,1,0,,2020-09
Hawaii,73.77,12589,335.764814898522,1,152.620370408419,0,0,1,2020-09
Idaho,42.6,42048,557.338429212144,0,253.335649641884,1,0,,2020-09
Illinois,64.63,295763,465.899889210872,1,211.772676914033,1,0,1,2020-09
Indiana,59.23,120019,383.573380485691,1,174.351536584405,0,0,,2020-09
Iowa,48.1,88830,760.902293768443,0,345.864678985656,1,0,,2020-09
Kansas,55.37,59749,588.230448211212,1,267.377476459642,1,0,,2020-09
Kentucky,63.3,68840,457.598396301609,1,207.999271046186,1,0,,2020-09
Louisiana,57.53,167458,399.329374457117,1,181.513352025962,0,0,1,2020-09
Maine,61.1,5431,65.6890430973686,1,29.8586559533493,0,0,1,2020-09
Maryland,71.9,125510,275.353640946924,1,125.160745884965,0,0,1,2020-09
Massachusetts,71.7,139649,166.078999167646,1,75.490454167112,0,0,1,2020-09
Michigan,65.03,138014,250.218862651182,1,113.735846659628,0,0,1,2020-09
Minnesota,61.83,99134,412.615574916945,1,187.552534053157,0,0,,2020-09
Mississippi,60.97,98886,514.154365255234,1,233.70652966147,1,0,,2020-09
Missouri,51.57,126113,674.810360300764,0,306.731981954893,1,0,,2020-09
Montana,51.63,13393,552.032321024572,0,250.923782283896,1,0,,2020-09
Nebraska,50.43,45564,582.969053064297,0,264.985933211044,1,0,,2020-09
Nevada,66.73,80085,344.170879656745,1,156.441308934884,0,0,,2020-09
New Hampshire,63.23,8266,72.8831347249526,0,33.1286976022512,0,0,,2020-09
New Jersey,68.47,205275,149.906723454463,1,68.1394197520288,0,0,,2020-09
New Mexico,70.37,29435,194.722602558435,1,88.5102738901976,0,0,,2020-09
New York,71.67,214608,72.4237583031713,1,32.9198901378051,0,0,1,2020-09
North Carolina,61.2,210632,413.030635528854,1,187.741197967661,0,0,,2020-09
North Dakota,39.63,22218,1340.83578501487,0,609.470811370394,1,0,,2020-09
Ohio,60.1,153987,263.749989306277,1,119.88635877558,0,0,,2020-09
Oklahoma,50.5,93442,741.324614206169,0,336.965733730077,1,0,,2020-09
Oregon,60.93,33509,162.510407983384,1,73.8683672651743,0,0,,2020-09
Pennsylvania,63.43,158967,194.829100384323,1,88.5586819928741,0,0,,2020-09
Rhode Island,71.27,24748,264.21588108303,1,120.098127765014,0,0,,2020-09
South Carolina,60.9,147942,562.276327642203,0,255.580148928274,1,0,,2020-09
South Dakota,37.5,22389,1003.77659640607,0,456.262089275488,1,0,,2020-09
Tennessee,55.0,196139,603.381902408695,0,274.264501094862,1,0,,2020-09
Texas,67.93,748967,469.025238446799,1,213.19329020309,1,0,,2020-09
Utah,54.3,73042,631.636471843986,1,287.107487201812,1,0,,2020-09
Vermont,69.37,1755,20.1926636527246,1,9.1784834785112,0,0,,2020-09
Virginia,64.8,148721,317.567098145994,1,144.348680975452,0,0,1,2020-09
Washington,66.7,87522,169.234157328278,1,76.9246169673989,0,0,,2020-09
West Virginia,58.4,15848,312.36276934872,1,141.983076976691,0,0,,2020-09
Wisconsin,59.33,129123,833.92959027101,1,379.058904668641,1,0,,2020-09
Wyoming,31.6,5948,363.882030344237,0,165.400922883744,0,0,,2020-09
