tweet.id,tweet.date,content,tweet.username,user.location,user.id,State,Month,Positive,Negative,Neutral,Compound
1.27E+18,2020-05-29 18:02:15+00:00,"Calling on @realDonaldTrump to end the #CDC #maskmandate (which NEVER made any sense!) If people don't have symptoms they don't have #covid and the authorities are playing #publichealth ground-hog &amp;witch-hunt. End this! Please, #replacetheleadership at CDC! #firemaskers",di_daisyistand,"Southern Colorado, USA",3072080773,Colorado,2020-05,0.132,0,0.868,0.6487
1.26E+18,2020-05-25 17:11:58+00:00,@BillKristol Kristol adores Mob Rule. People with Asthma are exempted from #MaskMandate. #Kristol_Stoopid,JuliaHaverinen,"Singed Pole, Maine",856347266,Maine,2020-05,0.178,0,0.822,0.3818
1.26E+18,2020-05-24 19:35:47+00:00,"If you worked anywhere near the public during our ""#lockdowns"" you may be delusional if you believe you HAVEN'T been exposed to #covid19. The #maskmandate (forcing everyone) is based on a lie.",di_daisyistand,"Southern Colorado, USA",3072080773,Colorado,2020-05,0.038,0,0.962,0.0572
1.26E+18,2020-05-24 16:35:36+00:00,"And, STOP lying and telling us this is to “save individual lives”-When #CDC &amp; #publichealth is only for protecting #government and it’s structure period. Not #USCitizens health or lives! If it were there would NEVER have been this deceitful #maskmandate! #endBirxscashcow",di_daisyistand,"Southern Colorado, USA",3072080773,Colorado,2020-05,0,0.213,0.787,-0.8832
1.26E+18,2020-05-24 16:35:36+00:00,"@realDonaldTrump needs to fire DrBirx and her lousy #maskmandate that covers her &amp; #CDC’s complete and deadly incompetence  in choosing a killer model for self-multiplied crisis #pandemictriage call. Her lack of ability to call it, treat it, or check their own harmful procedures!",di_daisyistand,"Southern Colorado, USA",3072080773,Colorado,2020-05,0.083,0.335,0.581,-0.945
1.26E+18,2020-05-22 14:17:45+00:00,Live from #RVA. #Masks #Virginia #MaskMandate. Triggering warning! (5/22/20) https://t.co/cSds5Dx8jR,Rumpleventure,Virginia USA,1.23E+18,Virginia,2020-05,0,0.23,0.77,-0.4003
1.26E+18,2020-05-19 19:58:08+00:00,"Stop the #maskmandate-ONLY people who BELIEVE a mask will help THEM should wear one! NO ONE ELSE SHOULD BE FORCED! This is one of the most offensive and bogus mandates! And, #forcedmasks should be carefully investigated as factor in the death at #nursingcenters! #endmeasures",di_daisyistand,"Southern Colorado, USA",3072080773,Colorado,2020-05,0.072,0.295,0.633,-0.9328
1.26E+18,2020-05-19 19:30:54+00:00,"Continued #covid #maskmandate is the example of paranoia and blarney insanity. If people are that irrational to believe they need to protect themselves with masks (when most of us have lived through so many “contagions”), then they should talk to a counselor or get tranquilized!",di_daisyistand,"Southern Colorado, USA",3072080773,Colorado,2020-05,0.05,0.184,0.766,-0.7177
1.26E+18,2020-05-19 01:50:58+00:00,UPDATE: No #MaskMandate in @PrairieVillage Live upate on @fox4kc News at 9pm. #COVID19 https://t.co/rLlGGlmi5c,JohnHoltNews,"Kansas City, MO",368540082,Kansas,2020-05,0,0.145,0.855,-0.296
1.26E+18,2020-05-18 19:48:30+00:00,"Since #maskmandate was NEVER MEANT to benefit wearers or #labor (people willing to work under “#pandemic”), and, forced masks by threats/fine, and, was a bogus, immoral, and arrogant action implying employees are all infected with #covid, these measures need immediate removal!",di_daisyistand,"Southern Colorado, USA",3072080773,Colorado,2020-05,0,0.296,0.704,-0.9346
1.26E+18,2020-05-17 15:27:04+00:00,"Get real about “#newnormal” #maskmandate-the goofy IMPOSITION of surgical masks during #respiratory allergy/illness season came from #China. Along with a large number of THEIR masks. So, the #liberalleft was the pusher of masks also? Suspicious. Then they deny #Wuhan origin?",di_daisyistand,"Southern Colorado, USA",3072080773,Colorado,2020-05,0.03,0.121,0.849,-0.6072
1.26E+18,2020-05-17 14:53:32+00:00,Looks even more like #maskmandate is a tippy on an #antitrust iceberg meant to swing economy to certain monopolies and bust the #employeemarket to #employermarket while establishing unfair #unconstitutional demands on workers. Big Biz threatens the plankton? Swampy. #endlockdown,di_daisyistand,"Southern Colorado, USA",3072080773,Colorado,2020-05,0.107,0.125,0.768,-0.204
1.26E+18,2020-05-17 14:35:08+00:00,The #maskmandate was NOT enacted for the good or benefit of the wearer. The purpose was-without regard to harm done to wearer-to protect more important (implicit) people. The general public’s CHOICE to wear a mask for health reasons should have remained as “choice”! #endmandates,di_daisyistand,"Southern Colorado, USA",3072080773,Colorado,2020-05,0.204,0.066,0.731,0.7495
1.26E+18,2020-05-10 15:21:29+00:00,"Not only is #CO #GovPolis NOT a proponent of #labor-he is forcing #maskmandate on workers by fine, threat, stalking done by #COpublichealth. But, the practice in #nursingcenters should have been banned long ago!! Anything done AGAINST a patient is NOT “healthy”! stop #classout",di_daisyistand,"Southern Colorado, USA",3072080773,Colorado,2020-05,0.075,0.142,0.783,-0.6535
1.26E+18,2020-05-10 15:01:46+00:00,"#GovPolis #COpublichealth #maskmandate isn’t to protect workers (mandated attire not meant to protect wearer), it is supposedly “protecting” public FROM #labor (which is vile, disgusting agenda). From healthy people? Clearly, meant to class-out workers at jobs by #democrats!",di_daisyistand,"Southern Colorado, USA",3072080773,Colorado,2020-05,0.16,0.2,0.64,-0.4545
1.26E+18,2020-05-03 23:20:52+00:00,"Since according to #fakenews &amp; #foxnews ""there is no law"" that PROTECTS #UScitizens FROM being FORCED to wear *awful #facecoverings, clearly we need one! The fussy, nasty #maskmandate &amp; its awful pushers is one of the worst parts of #covid #socialist “adjustment” &amp; job-kill!",di_daisyistand,"Southern Colorado, USA",3072080773,Colorado,2020-05,0.093,0.326,0.581,-0.938
1.27E+18,2020-05-30 23:59:19+00:00,"@KristinBeltaos .. but why are masks only ""recommended""? THAT's the super dangerous part. 

Are masks still required by you? Last Tuesday, I only saw one person at my market without, which was good, but not great.",privatelynda,"Southern California, USA",8.28E+17,California,2020-05,0.149,0.238,0.613,-0.6715
1.27E+18,2020-05-30 23:59:00+00:00,"Hey, @UPS, when confronted, UPS Store employees in Austin area report they’re not required to wear masks, even tho customers &amp; UPS pickup/drop off drivers are wearing masks &amp; distancing. Protect UPS drivers &amp; customers by boycotting those retail franchises or issuing guidelines.",pamelaoldham,"Austin, Texas area",30983350,Texas,2020-05,0.055,0.096,0.849,-0.2263
1.27E+18,2020-05-30 23:58:34+00:00,"Amidst all these protests, people are forgetting: 
1. Keeping safe distance
2. Wearing face masks
3. Using protective gear 

We still have a Pandemic at large!

Hoping these actions don’t cause a 2nd wave...

God Bless America 🇺🇸 

#peace #PeacefulProtests #together #commonsense",SanjayBDalal,"California, USA 🇺🇸",147122717,California,2020-05,0.275,0.036,0.688,0.9098
1.27E+18,2020-05-30 23:55:26+00:00,Pastor Devante Hill is again organizing tonight's march.  Masks and bottled water is being given out for those who want/need them.  Protesters who work in the medical field have been identified and are given tags to wear in case of any medical emergencies.,EileenK901,Memphis Tennessee,2772058818,Tennessee,2020-05,0,0.043,0.957,-0.2263
1.27E+18,2020-05-30 23:55:03+00:00,@natalie_allison @AdamVingan @PredsNHL And unfortunately with their masks they won't be able to be identified even though they are on video. So much for 'peaceful' demonstrations. #CleanUpYourAct,techknowledg1st,"Columbia, Tennessee",592217604,Tennessee,2020-05,0.112,0.078,0.81,0.2648
1.27E+18,2020-05-30 23:55:02+00:00,The democrats have a perfect set up. The polices hands are tied. The criminals are all wearing masks. It looks like mostly young people. They are destroying tax payer paid vehicles. Injuring innocent people. I’m scared for my grandkids to grow up in this country now.,kollinsbebby,Texas,36596121,Texas,2020-05,0.146,0.173,0.68,-0.3818
1.27E+18,2020-05-30 23:54:28+00:00,African American Clergy lead by the Rev.@markkellytyler  and the Rev.@NickTShow  are headed to the Presidents's House at 6th &amp; Market in Philadelphia at 8 pm tonight. All Clergy( of all races/faiths) are invited to come wearing clergy attire as well as face masks. @cherrigregg,ddroyster,"Washington, DC",32569785,Washington,2020-05,0.047,0,0.953,0.2732
1.27E+18,2020-05-30 23:54:05+00:00,"@ericspiegelman I ate out last night.  On a restaurant patio.  All tables socially distanced.  All waiters in gloves and masks.  And after having cooked dinner for the past two and a half months, it was great.  And no dishes to do.  That being said, we are eating in tonight.",vaivelo,"California, USA",8.27E+17,California,2020-05,0.077,0.041,0.882,0.4404
1.27E+18,2020-05-30 23:53:35+00:00,"The Covid stupidity continues.

Watching UFC fighting in empty arena again. All the people involved are tested before the event. The fighters, referee, announcers and even ring girl have no masks.

But all the corner people of the fighters do? 

WTF? 🙄",Gothamresist,New York,31583837,New York,2020-05,0,0.293,0.707,-0.9146
1.27E+18,2020-05-30 23:52:33+00:00,"@Sarah64461915 Antifa? I haven’t noticed them, but there are so many with masks. I’ve seen peaceful protests, hands up. Then chaos. But first they tried to get CNN which tells me it’s Trump related.",bamableu,"Daphne, Alabama",2896151700,Alabama,2020-05,0.101,0.173,0.726,-0.4767
1.27E+18,2020-05-30 23:52:14+00:00,"@nedleysoffice I am not entering this! But I wear it bc I want to keep myself, my family and others safe from germs! We all should wear masks...not just for our own health and safety but for all the others we are in contact with! IMO! Thank you for this! Good luck to all the #Earpers",envirochic04,Washington D.C ,41308083,Washington,2020-05,0.305,0,0.695,0.9719
1.27E+18,2020-05-30 23:51:44+00:00,"@errollouis yeah, I was at Rockaway today...no masks for me or anyone else.... it was actually a mild return to normal.  You are not getting covid-19 by sitting at a windy beach. Its REPEATED exposure to droplets.  We have to move on and reopen.",velo53x11,"New York, NY (Sunnyside)",3061801046,New York,2020-05,0.049,0,0.951,0.296
1.27E+18,2020-05-30 23:51:08+00:00,"Do people realize, that while they're protesting while wearing masks in my hometown and other cities, they're likely to trigger a second wave of Coronavirus?

Do they not realize that we're still in a pandemic?

All of these protests are going to result in thousands of deaths.",boopstawista,"New York, USA",7.59E+17,New York,2020-05,0,0.101,0.899,-0.6199
1.27E+18,2020-05-30 23:49:37+00:00,The thing I can't get out of my head is the images of all the protestors in masks. They know the risk they're taking in potentially becoming seriously ill but they're out on the streets because they know the consequences if they are not are even worse.,nextyeardc,"Washington, D.C.",275292948,Washington,2020-05,0.065,0.094,0.841,0.1358
1.27E+18,2020-05-30 23:49:28+00:00,"I am just so over w/this crap. You turn on TV+see hundreds of protesters shoulder to shoulder+nobody says 'shame on them where are their masks-they're not social distancing', but if I want to go in to get my hair cut, my hairdresser can only have 1 client+ I have to wear a mask??",Wackywoman50,"Florida, USA",296985227,Florida,2020-05,0.025,0.146,0.829,-0.7177
1.27E+18,2020-05-30 23:49:26+00:00,"@cointel__bro if you carry protection carry fire extinguishers, and goggles.
you should be already be wearing face masks.

watch for tear gas if possible cover it with metal bowl after dousing in water.

watch for ""violent protesters"" they are not allies, only there to cause chaos",Kcgrim3,"North Carolina, USA",1.06E+18,North Carolina,2020-05,0,0.221,0.779,-0.8979
1.27E+18,2020-05-30 23:49:22+00:00,@Deirdre10025Rad @ChehadeTheKing most are wearing masks ... unlike MAGA who protested against mask wearing but carried guns cos FREEDOM.,LostDiva,"Portland, Oregon  USA",22869375,Oregon,2020-05,0.274,0.05,0.676,0.8248
1.27E+18,2020-05-30 23:48:47+00:00,"Over 105,000 dead. There are so many,
when the 5,000 almost becomes an after thought, and most of the country
isn't wearing masks &amp; are crowding together, I think we will be hit so hard with this in June &amp; July. Did trump give all of the ventilators &amp; PPE to Russia?",MaryannPotts14,"Why, Ohio did u vote 4 trump?!",1.01E+18,Ohio,2020-05,0,0.11,0.89,-0.7324
1.27E+18,2020-05-30 23:48:14+00:00,"@solairemomo We already had people killing each other over wearing masks, we don’t need people killing each other over wanting justice.. especially when the weather innocent people affected are on the same side.",HaloMillennium,"New Jersey, United States",71825739,New Jersey,2020-05,0.131,0.235,0.633,-0.6808
1.27E+18,2020-05-30 23:46:17+00:00,"@BlackHoleMind We have to login for a reservation to attend Church, temperature test, masks, no kissing icons, social distancing and no more then 50 people, masks are required...!🤔😓",Doug58611311,"Iowa, USA",1.07E+18,Iowa,2020-05,0,0.211,0.789,-0.8069
1.27E+18,2020-05-30 23:43:30+00:00,"@brithume Are you s medical doctor now? Are you a scientist or some kind of expert! No you’re not! Maybe stick to being a political hack! Asian countries have way fewer covid cases because of testing, tracing and yes wearing masks! You’re a fool!",khope99,"Colorado, USA",248033118,Colorado,2020-05,0.054,0.125,0.821,-0.5526
1.27E+18,2020-05-30 23:43:27+00:00,"@KashJackson2018 Killing innocent black people is exactly the same as not getting a haircut. 

Most are wearing masks, because they are angry not stupid.",larryauman,"Washington, DC",783774997,Washington,2020-05,0.157,0.234,0.608,-0.546
1.27E+18,2020-05-30 23:42:05+00:00,@SohrabAhmari And no masks!!  You are so lucky!,JenniferLahl,"California, USA",14835456,California,2020-05,0.354,0.173,0.473,0.5093
1.27E+18,2020-05-30 23:41:57+00:00,"@BeckyJohnson222 @SMcwoof @MacBaird13 @Kathmarval @JaneEOpie @StopVaxxedLies @NoScienceDenial @KayVonPaul @HatgiNeal @GeoffSchuler @ianfmusgrave @TruthPirateUSA @KatLaRue7 @FrankDElia7 @ChrisJohnsonMD @organicdot @Monstercoyliar @krebiozen @mcfunny @bob_hound @CobraElDiablo @BoastIra @RisetteMD @CarlaGlade @100Dianne @Clues @FrozenShadow0 @DocEmRu @PJMoore1958 @DoubleDoubleJon @ilzheven @_mamadeb @DoubleDumas @TungstenV @AgileConcept @VileThePro @pHarmAintYoMama @carlsmythe @Rome_Fell @mattb1974 @DianaGr87256494 @doritmi @ktibus @PaulLCarr2 @The_PSR @Geminifty @UrfriendsTell @Golfergirl2018 @Shared_facts @ajg6882 Your statement proves you didn’t read or didn’t understand what you read.  Words, are funny things they have meanings.

“At 50 percent compliance, though, with the use of high-filtration surgical masks, the effect might be substantial.”",JestrBob,Central California,146948608,California,2020-05,0.033,0,0.967,0.4404
